"name","selectable","virtual","codes","labels","country","dataset","dictionary"
"CPV2010A",0,0,"","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"PROV",1,0,"IDPROV","NOMPROV","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"DPTO",1,0,"IDDPTO","NOMDPTO","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"FRAC",1,0,"IDFRAC","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"RADIO",1,0,"IDRADIO","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"SEG",1,0,"IDSEG","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"VIVIENDA",0,0,"","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"HOGAR",0,0,"","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"PERSONA",0,0,"","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx"
"CENSO16R",0,0,"CENSO","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"REGION",1,0,"IDREGION","NREGION","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"PROVINCI",1,0,"IDPROVIN","NPROVI","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"COMUNA",1,0,"IDCOMUNA","NCOMUNA","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"DISTRITO",1,0,"IDDIST","NDISTRITO","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"AREA",1,0,"IDAREA","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"ZONALOC",1,0,"IDZC","NLOCALIDAD","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"VIVIENDA",0,0,"","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"HOGAR",0,0,"","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"PERSONA",0,0,"","","chile","CP2017CHL","data/extracted/CP2017CHL/BaseOrg16/CPV2017-16.dicx"
"CPV2017D",0,0,"","","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"DEPARTAM",1,0,"CCDD","NCCDD","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"PROVINCI",1,0,"CCPP","NCCPP","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"DISTRITO",1,0,"CCDI","NCCDI","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"VIVIENDA",0,0,"","","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"HOGAR",0,0,"","","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"PERSONA",0,0,"","","peru","CP2017PER","data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX"
"CD2010",0,0,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"REGIAO",1,0,"IDREG","REGNOME","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"UF",1,0,"IDUF","UFNOME","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"MUNIC",1,0,"IDMUNIC","MUNICNOME","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"APOND",1,0,"IDAPOND","APONDNOME","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"DOMICIL",0,0,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"FAMILIA",0,0,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"PESSOA",0,0,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"PMARCAS",0,1,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"EMIGRA",0,0,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"MORT",0,0,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
"DMARCAS",0,1,"","","brasil","CP2010BRA","data/extracted/CP2010BRA/BaseR/CD2010_Amostra.dicx"
