country,dataset,entity,n_variables
argentina,CP2010ARG,DPTO,3
argentina,CP2010ARG,FRAC,1
argentina,CP2010ARG,HOGAR,47
argentina,CP2010ARG,PERSONA,71
argentina,CP2010ARG,PROV,3
argentina,CP2010ARG,RADIO,1
argentina,CP2010ARG,SEG,1
argentina,CP2010ARG,VIVIENDA,35
brasil,CP2010BRA,APOND,4
brasil,CP2010BRA,DMARCAS,27
brasil,CP2010BRA,DOMICIL,41
brasil,CP2010BRA,EMIGRA,9
brasil,CP2010BRA,FAMILIA,4
brasil,CP2010BRA,MORT,8
brasil,CP2010BRA,MUNIC,9
brasil,CP2010BRA,PESSOA,142
brasil,CP2010BRA,PMARCAS,100
brasil,CP2010BRA,REGIAO,3
brasil,CP2010BRA,UF,3
chile,CP2017CHL,AREA,2
chile,CP2017CHL,CENSO16R,1
chile,CP2017CHL,COMUNA,3
chile,CP2017CHL,DISTRITO,2
chile,CP2017CHL,HOGAR,2
chile,CP2017CHL,PERSONA,33
chile,CP2017CHL,PROVINCI,3
chile,CP2017CHL,REGION,3
chile,CP2017CHL,VIVIENDA,10
chile,CP2017CHL,ZONALOC,2
peru,CP2017PER,DEPARTAM,2
peru,CP2017PER,DISTRITO,2
peru,CP2017PER,HOGAR,31
peru,CP2017PER,PERSONA,71
peru,CP2017PER,PROVINCI,2
peru,CP2017PER,VIVIENDA,19
